"Assembly","FullName","BaseType","PublicParameterlessConstructor"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.Internal.FloatGroupItemsControl","Eremex.AvaloniaUI.Controls.Docking.Internal.DockGroupItemsControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.Internal.FloatWindow","Avalonia.Controls.Window","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.Internal.OverlayWindow","Avalonia.Controls.Window","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.Internal.SideDockWidget","Eremex.AvaloniaUI.Controls.Docking.Internal.DockWidgetBase","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.Internal.TabbedGroupItem","Eremex.AvaloniaUI.Controls.MxTabItem","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.Internal.TabbedGroupItemsControl","Eremex.AvaloniaUI.Controls.MxTabControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.Internal.UiElementPresenter","Avalonia.Controls.Control","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Docking.TabbedGroup","Eremex.AvaloniaUI.Controls.Docking.DockGroup","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.BaseEditor","Avalonia.Controls.Primitives.TemplatedControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.ButtonEditor","Eremex.AvaloniaUI.Controls.Editors.TextEditor","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.ButtonEditorProperties","Eremex.AvaloniaUI.Controls.Editors.TextEditorProperties","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.ButtonSettings","Avalonia.Controls.Control","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.CalendarControl","Avalonia.Controls.Calendar","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.CheckEditor","Eremex.AvaloniaUI.Controls.Editors.BaseEditor","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.CheckEditorProperties","Eremex.AvaloniaUI.Controls.Editors.BaseEditorProperties","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.ColorEditor","Avalonia.Controls.Primitives.TemplatedControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.ComboBoxEditor","Eremex.AvaloniaUI.Controls.Editors.PopupEditor","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.ComboBoxEditorProperties","Eremex.AvaloniaUI.Controls.Editors.PopupEditorProperties","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.DateEditor","Eremex.AvaloniaUI.Controls.Editors.PopupEditor","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.DateEditorProperties","Eremex.AvaloniaUI.Controls.Editors.PopupEditorProperties","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.GroupBox","Avalonia.Controls.Primitives.HeaderedContentControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.HyperlinkEditor","Eremex.AvaloniaUI.Controls.Editors.BaseEditor","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.HyperlinkEditorProperties","Eremex.AvaloniaUI.Controls.Editors.BaseEditorProperties","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.Internal.SplitContainerLayoutPanel","Eremex.AvaloniaUI.Controls.Common.Internal.SplitPanelBase","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.Internal.SplitContainerLayoutSplitter","Eremex.AvaloniaUI.Controls.Common.Internal.SplitPanelLayoutSplitterBase","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.MemoEditor","Eremex.AvaloniaUI.Controls.Editors.PopupEditor","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.MemoEditorProperties","Eremex.AvaloniaUI.Controls.Editors.PopupEditorProperties","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.PopupColorEditor","Eremex.AvaloniaUI.Controls.Editors.PopupEditor","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.PopupColorEditorProperties","Eremex.AvaloniaUI.Controls.Editors.PopupEditorProperties","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.PopupEditor","Eremex.AvaloniaUI.Controls.Editors.ButtonEditor","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.PopupEditorProperties","Eremex.AvaloniaUI.Controls.Editors.ButtonEditorProperties","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.SegmentedEditor","Eremex.AvaloniaUI.Controls.Editors.BaseEditor","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.SegmentedEditorProperties","Eremex.AvaloniaUI.Controls.Editors.BaseEditorProperties","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.SpinEditor","Eremex.AvaloniaUI.Controls.Editors.ButtonEditor","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.SpinEditorProperties","Eremex.AvaloniaUI.Controls.Editors.ButtonEditorProperties","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.SplitContainerControl","Avalonia.Controls.Primitives.TemplatedControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.TextEditor","Eremex.AvaloniaUI.Controls.Editors.BaseEditor","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.TextEditorProperties","Eremex.AvaloniaUI.Controls.Editors.BaseEditorProperties","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.Visuals.ButtonEditorInactiveButtonsContainer","Avalonia.Controls.Control","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.Visuals.ColorPickerControl","Avalonia.Controls.Primitives.TemplatedControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.Visuals.ColorToggleButton","Avalonia.Controls.Primitives.ToggleButton","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.Visuals.ComboBoxPopupControl","Avalonia.Controls.Primitives.TemplatedControl","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.Visuals.EditorIconButton","Avalonia.Controls.Button","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.Visuals.EditorIconToggleButton","Avalonia.Controls.Primitives.ToggleButton","True"
"Eremex.Avalonia.Controls","Eremex.AvaloniaUI.Controls.Editors.Visuals.MxTextBlock","Avalonia.Controls.Control","True"
